[2026-05-11T14:44:31.441+0100][510.394s][info][gc,task     ] GC(13) Using 12 workers of 13 for evacuation
[2026-05-11T14:44:31.451+0100][510.404s][info][gc,phases   ] GC(13)   Pre Evacuate Collection Set: 0.3ms
[2026-05-11T14:44:31.452+0100][510.404s][info][gc,phases   ] GC(13)   Merge Heap Roots: 0.3ms
[2026-05-11T14:44:31.452+0100][510.404s][info][gc,phases   ] GC(13)   Evacuate Collection Set: 9.3ms
[2026-05-11T14:44:31.452+0100][510.404s][info][gc,phases   ] GC(13)   Post Evacuate Collection Set: 0.5ms
[2026-05-11T14:44:31.452+0100][510.404s][info][gc,phases   ] GC(13)   Other: 0.1ms
[2026-05-11T14:44:31.452+0100][510.404s][info][gc,heap     ] GC(13) Eden regions: 68->0(69)
[2026-05-11T14:44:31.452+0100][510.404s][info][gc,heap     ] GC(13) Survivor regions: 6->5(10)
[2026-05-11T14:44:31.452+0100][510.404s][info][gc,heap     ] GC(13) Old regions: 25->28
[2026-05-11T14:44:31.452+0100][510.404s][info][gc,heap     ] GC(13) Humongous regions: 6->6
[2026-05-11T14:44:31.452+0100][510.404s][info][gc,metaspace] GC(13) Metaspace: 11626K(11840K)->11626K(11840K) NonClass: 10496K(10624K)->10496K(10624K) Class: 1129K(1216K)->1129K(1216K)
[2026-05-11T14:44:31.452+0100][510.404s][info][gc          ] GC(13) Pause Young (Normal) (G1 Evacuation Pause) 414M->146M(500M) 10.641ms
[2026-05-11T14:44:31.452+0100][510.404s][info][gc,cpu      ] GC(13) User=0.10s Sys=0.01s Real=0.02s
[2026-05-11T14:44:39.932+0100][518.885s][info][gc,start    ] GC(14) Pause Young (Normal) (G1 Evacuation Pause)
[2026-05-11T14:44:39.932+0100][518.885s][info][gc,task     ] GC(14) Using 12 workers of 13 for evacuation
[2026-05-11T14:44:39.940+0100][518.892s][info][gc,phases   ] GC(14)   Pre Evacuate Collection Set: 0.3ms
[2026-05-11T14:44:39.940+0100][518.892s][info][gc,phases   ] GC(14)   Merge Heap Roots: 0.3ms
[2026-05-11T14:44:39.940+0100][518.892s][info][gc,phases   ] GC(14)   Evacuate Collection Set: 6.5ms
[2026-05-11T14:44:39.940+0100][518.892s][info][gc,phases   ] GC(14)   Post Evacuate Collection Set: 0.5ms
[2026-05-11T14:44:39.940+0100][518.892s][info][gc,phases   ] GC(14)   Other: 0.1ms
[2026-05-11T14:44:39.940+0100][518.892s][info][gc,heap     ] GC(14) Eden regions: 69->0(69)
[2026-05-11T14:44:39.940+0100][518.892s][info][gc,heap     ] GC(14) Survivor regions: 5->5(10)
[2026-05-11T14:44:39.940+0100][518.892s][info][gc,heap     ] GC(14) Old regions: 28->28
[2026-05-11T14:44:39.940+0100][518.892s][info][gc,heap     ] GC(14) Humongous regions: 6->6
[2026-05-11T14:44:39.940+0100][518.893s][info][gc,metaspace] GC(14) Metaspace: 11626K(11840K)->11626K(11840K) NonClass: 10496K(10624K)->10496K(10624K) Class: 1129K(1216K)->1129K(1216K)
[2026-05-11T14:44:39.940+0100][518.893s][info][gc          ] GC(14) Pause Young (Normal) (G1 Evacuation Pause) 422M->149M(500M) 8.020ms
[2026-05-11T14:44:39.940+0100][518.893s][info][gc,cpu      ] GC(14) User=0.07s Sys=0.00s Real=0.00s
[2026-05-11T14:44:47.979+0100][526.932s][info][gc,start    ] GC(15) Pause Young (Normal) (G1 Evacuation Pause)
[2026-05-11T14:44:47.979+0100][526.932s][info][gc,task     ] GC(15) Using 12 workers of 13 for evacuation
